Year,,Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində məişət xidmətinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində nəqliyyat xidmətinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində rabitə xidmətinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində mənzil təsərrüfatı xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində kommunal təsərrüfatı xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində mədəniyyət xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində turist-ekskursiya xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində bədən tərbiyəsi və idman xidmətinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində səhiyyə xidmətlərin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində sanatoriya-kurort və sağlamlıq xidmələrinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində hüquq səciyyəli və bank xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində təhsil xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində məktəbəqədər təhsil xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində ali və orta təhsil xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində əhalinin kurslarda öyrədilməsi xidmətlərinin həcmi (min manat),Əhaliyə göstərilən ödənişli xidmətlərin ümumi həcmində sair ödənişli xidmətlərin həcmi (min manat)
2024,,12885471.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023,,1262802.6,1986014.2,2520751.3,222914.5,2292041.7,73129.7,269024.8,53859.2,939027.9,87551.1,341787.5,951238.6,33215.2,494288.4,423735.0,411465.7
2022,,987446.6,1429595.8,2219907.5,147036.7,2141886.9,61281.9,193469.7,42705.9,687280.6,66839.4,285369.6,660478.6,19198.4,335084.7,306195.5,330115.3
2021,,819913.1,1080071.5,2101220.9,122333.4,1729189.5,55608.8,121013.6,35706.9,617042.5,44253.1,264359.3,476532.7,12571.6,244591.8,219369.3,290941.3
2020,,756064.7,1046580.9,1933045.9,110272.6,1469369.1,45434.3,85651.6,25913.6,548927.6,31628.7,251256.3,425553.1,10919.3,223225.1,191408.7,268675.9
2019,,1021799.3,1838622.9,1903553.5,204934.1,1432338.7,218385.1,356895.9,88762.1,571362.3,110257.9,435785.6,746909.7,38352.3,318657.8,389899.6,677651.6
2018,,991319.0,1776447.3,1864401.1,196347.3,1378235.2,209156.2,294995.2,83587.3,504473.1,104753.5,422910.7,679620.5,34613.2,290486.4,354520.9,625512.2
2017,,959087.4,1695451.1,1766598.0,185161.5,1326580.7,202616.3,233316.5,78748.1,453856.1,99051.3,455722.7,615564.9,31393.8,259152.8,325018.3,564281.2
2016,,896486.8,1538521.9,1655668.2,164004.9,1202702.4,179624.4,195243.9,67944.9,382678.0,85907.3,413917.1,546682.9,24913.8,235510.8,286258.3,480373.0
2015,,863114.6,1460499.2,1620765.7,176866.1,1060129.2,158847.9,181188.2,64537.2,310647.1,92947.5,453140.3,531864.7,23030.7,226923.7,281910.3,488217.5
2014,,809696.7,1396270.7,1567471.7,167170.2,1001066.3,144538.6,156466.5,58938.1,270834.4,86302.2,428704.2,484835.7,21090.4,211485.3,252260.0,444140.4
2013,,763164.5,1300119.7,1470141.9,155613.5,931861.4,134152.8,144116.5,52777.9,243910.8,81891.7,387467.0,446179.5,18993.4,194124.3,233061.8,415885.0
2012,,705375.2,1159785.6,1346283.8,143953.3,827585.7,120641.0,128217.5,47207.4,199436.5,72792.6,320485.5,387887.1,15894.1,178259.2,193733.8,368417.2
2011,,662015.8,1018482.9,1210448.3,138641.7,789190.9,111979.8,110774.5,42659.0,165303.5,63988.5,303945.2,362601.2,14975.2,165188.7,182437.3,352339.9
2010,,610675.1,908051.0,1046877.9,149297.0,645867.0,101700.0,95968.0,37513.0,129516.0,54124.0,287300.0,308875.0,11226.0,134390.0,163259.0,348726.0
2009,,547058.7,788369.3,936775.1,153411.0,584370.0,86598.0,79124.0,30185.0,98501.0,49496.6,200047.0,235243.5,10932.0,154069.5,70242.0,299008.9
2008,,483610.9,654529.3,829244.1,128875.0,468113.8,72172.0,70458.3,25828.0,84990.5,45948.9,159807.0,181990.8,8868.0,127774.8,45348.0,187470.6
2007,,364614.0,408547.8,661573.2,79240.0,399588.1,33706.5,31310.6,8115.0,39274.8,15552.0,115103.6,71345.3,4815.9,56999.5,9529.9,120315.6
2006,,261930.0,248016.7,428762.5,45995.6,175306.2,21231.6,18979.0,2045.8,25567.5,10358.9,60263.2,49781.8,2361.7,43852.8,3567.3,52457.2
2005,,210400.4,187878.4,328545.8,13150.0,132407.8,6390.0,16899.4,1486.0,10225.0,6061.8,11195.0,33176.8,1748.0,27892.1,3536.7,2916.0
2004,,168671.0,119535.9,237260.0,12470.0,77940.0,5857.0,16474.3,1480.1,8505.6,4861.9,9656.0,28812.9,1548.1,23832.8,3432.0,3056.5
2003,,145148.8,97275.0,188428.0,12398.0,74511.6,5797.0,16406.0,970.6,7442.4,4107.8,8197.0,27745.5,1541.8,23005.4,3198.4,3799.0
2002,,132230.2,95906.8,139663.0,12411.8,80993.4,5780.6,16425.2,863.6,7010.8,3977.0,8178.6,26456.2,1519.2,21821.4,3115.8,1894.6
2001,,125425.2,72480.2,134146.0,11897.0,56846.0,5457.4,16192.8,458.8,7007.0,3203.8,8165.0,23629.4,1519.2,19054.6,3055.6,32810.6
2000,,119407.4,72077.0,116798.6,11370.2,56364.2,5264.0,16011.6,233.0,6180.8,2322.0,6568.0,16195.0,1511.6,13380.2,1303.4,48393.4
1999,,113107.8,64957.2,43912.8,11473.8,48571.6,5233.2,12841.4,125.0,3659.8,2275.0,6509.4,12623.0,1514.6,9847.0,1261.4,128173.6
1998,,106404.4,57867.4,42252.2,10668.8,44277.0,4706.2,12566.4,118.0,3162.4,2153.4,6090.8,10791.2,1455.6,8544.8,790.8,119445.0
1997,,77881.4,58748.6,38099.4,2998.6,21175.0,1941.6,10183.4,86.8,2631.0,2591.4,6968.8,8522.8,1580.4,6391.0,551.4,120942.4
1996,,73441.4,61383.8,17803.2,3940.0,7188.8,860.8,500.4,31.2,847.8,2107.6,14214.6,6257.6,607.4,2467.6,3182.6,89414.2
1995,,29490.0,58363.2,6757.0,3881.0,4922.4,342.8,1005.8,92.0,379.2,4677.8,3478.2,1537.4,86.6,1255.2,195.6,52537.8
